asset_price,exercise_time,delta
50.0000,0.2000,0.0000
50.0000,0.2080,0.0000
50.0000,0.2160,0.0000
50.0000,0.2240,0.0000
50.0000,0.2320,0.0000
50.0000,0.2400,0.0000
50.0000,0.2480,0.0000
50.0000,0.2560,0.0000
50.0000,0.2640,0.0000
50.0000,0.2720,0.0000
50.0000,0.2800,0.0000
50.0000,0.2880,0.0000
50.0000,0.2960,0.0000
50.0000,0.3040,0.0000
50.0000,0.3120,0.0001
50.0000,0.3200,0.0001
50.0000,0.3280,0.0001
50.0000,0.3360,0.0001
50.0000,0.3440,0.0001
50.0000,0.3520,0.0002
50.0000,0.3600,0.0002
50.0000,0.3680,0.0002
50.0000,0.3760,0.0003
50.0000,0.3840,0.0003
50.0000,0.3920,0.0003
50.0000,0.4000,0.0004
50.0000,0.4080,0.0004
50.0000,0.4160,0.0005
50.0000,0.4240,0.0006
50.0000,0.4320,0.0006
50.0000,0.4400,0.0007
50.0000,0.4480,0.0008
50.0000,0.4560,0.0009
50.0000,0.4640,0.0010
50.0000,0.4720,0.0011
50.0000,0.4800,0.0012
50.0000,0.4880,0.0013
50.0000,0.4960,0.0015
50.0000,0.5040,0.0016
50.0000,0.5120,0.0017
50.0000,0.5200,0.0019
50.0000,0.5280,0.0021
50.0000,0.5360,0.0022
50.0000,0.5440,0.0024
50.0000,0.5520,0.0026
50.0000,0.5600,0.0028
50.0000,0.5680,0.0030
50.0000,0.5760,0.0032
50.0000,0.5840,0.0034
50.0000,0.6000,0.0039
52.0000,0.2000,0.0000
52.0000,0.2080,0.0000
52.0000,0.2160,0.0000
52.0000,0.2240,0.0000
52.0000,0.2320,0.0000
52.0000,0.2400,0.0000
52.0000,0.2480,0.0000
52.0000,0.2560,0.0000
52.0000,0.2640,0.0000
52.0000,0.2720,0.0000
52.0000,0.2800,0.0001
52.0000,0.2880,0.0001
52.0000,0.2960,0.0001
52.0000,0.3040,0.0001
52.0000,0.3120,0.0001
52.0000,0.3200,0.0002
52.0000,0.3280,0.0002
52.0000,0.3360,0.0002
52.0000,0.3440,0.0003
52.0000,0.3520,0.0003
52.0000,0.3600,0.0004
52.0000,0.3680,0.0004
52.0000,0.3760,0.0005
52.0000,0.3840,0.0006
52.0000,0.3920,0.0006
52.0000,0.4000,0.0007
52.0000,0.4080,0.0008
52.0000,0.4160,0.0009
52.0000,0.4240,0.0010
52.0000,0.4320,0.0012
52.0000,0.4400,0.0013
52.0000,0.4480,0.0014
52.0000,0.4560,0.0016
52.0000,0.4640,0.0017
52.0000,0.4720,0.0019
52.0000,0.4800,0.0021
52.0000,0.4880,0.0022
52.0000,0.4960,0.0024
52.0000,0.5040,0.0026
52.0000,0.5120,0.0029
52.0000,0.5200,0.0031
52.0000,0.5280,0.0033
52.0000,0.5360,0.0036
52.0000,0.5440,0.0038
52.0000,0.5520,0.0041
52.0000,0.5600,0.0044
52.0000,0.5680,0.0046
52.0000,0.5760,0.0049
52.0000,0.5840,0.0053
52.0000,0.6000,0.0059
54.0000,0.2000,0.0000
54.0000,0.2080,0.0000
54.0000,0.2160,0.0000
54.0000,0.2240,0.0000
54.0000,0.2320,0.0000
54.0000,0.2400,0.0000
54.0000,0.2480,0.0000
54.0000,0.2560,0.0001
54.0000,0.2640,0.0001
54.0000,0.2720,0.0001
54.0000,0.2800,0.0001
54.0000,0.2880,0.0001
54.0000,0.2960,0.0002
54.0000,0.3040,0.0002
54.0000,0.3120,0.0003
54.0000,0.3200,0.0003
54.0000,0.3280,0.0004
54.0000,0.3360,0.0004
54.0000,0.3440,0.0005
54.0000,0.3520,0.0006
54.0000,0.3600,0.0007
54.0000,0.3680,0.0008
54.0000,0.3760,0.0009
54.0000,0.3840,0.0010
54.0000,0.3920,0.0012
54.0000,0.4000,0.0013
54.0000,0.4080,0.0014
54.0000,0.4160,0.0016
54.0000,0.4240,0.0018
54.0000,0.4320,0.0020
54.0000,0.4400,0.0022
54.0000,0.4480,0.0024
54.0000,0.4560,0.0026
54.0000,0.4640,0.0028
54.0000,0.4720,0.0031
54.0000,0.4800,0.0033
54.0000,0.4880,0.0036
54.0000,0.4960,0.0039
54.0000,0.5040,0.0042
54.0000,0.5120,0.0045
54.0000,0.5200,0.0048
54.0000,0.5280,0.0051
54.0000,0.5360,0.0055
54.0000,0.5440,0.0058
54.0000,0.5520,0.0062
54.0000,0.5600,0.0066
54.0000,0.5680,0.0070
54.0000,0.5760,0.0074
54.0000,0.5840,0.0078
54.0000,0.6000,0.0087
56.0000,0.2000,0.0000
56.0000,0.2080,0.0000
56.0000,0.2160,0.0000
56.0000,0.2240,0.0000
56.0000,0.2320,0.0001
56.0000,0.2400,0.0001
56.0000,0.2480,0.0001
56.0000,0.2560,0.0001
56.0000,0.2640,0.0002
56.0000,0.2720,0.0002
56.0000,0.2800,0.0003
56.0000,0.2880,0.0003
56.0000,0.2960,0.0004
56.0000,0.3040,0.0004
56.0000,0.3120,0.0005
56.0000,0.3200,0.0006
56.0000,0.3280,0.0007
56.0000,0.3360,0.0008
56.0000,0.3440,0.0010
56.0000,0.3520,0.0011
56.0000,0.3600,0.0012
56.0000,0.3680,0.0014
56.0000,0.3760,0.0016
56.0000,0.3840,0.0018
56.0000,0.3920,0.0020
56.0000,0.4000,0.0022
56.0000,0.4080,0.0024
56.0000,0.4160,0.0027
56.0000,0.4240,0.0029
56.0000,0.4320,0.0032
56.0000,0.4400,0.0035
56.0000,0.4480,0.0038
56.0000,0.4560,0.0041
56.0000,0.4640,0.0045
56.0000,0.4720,0.0048
56.0000,0.4800,0.0052
56.0000,0.4880,0.0056
56.0000,0.4960,0.0060
56.0000,0.5040,0.0064
56.0000,0.5120,0.0068
56.0000,0.5200,0.0072
56.0000,0.5280,0.0077
56.0000,0.5360,0.0082
56.0000,0.5440,0.0086
56.0000,0.5520,0.0091
56.0000,0.5600,0.0096
56.0000,0.5680,0.0102
56.0000,0.5760,0.0107
56.0000,0.5840,0.0113
56.0000,0.6000,0.0124
58.0000,0.2000,0.0000
58.0000,0.2080,0.0001
58.0000,0.2160,0.0001
58.0000,0.2240,0.0001
58.0000,0.2320,0.0001
58.0000,0.2400,0.0002
58.0000,0.2480,0.0002
58.0000,0.2560,0.0003
58.0000,0.2640,0.0003
58.0000,0.2720,0.0004
58.0000,0.2800,0.0005
58.0000,0.2880,0.0006
58.0000,0.2960,0.0007
58.0000,0.3040,0.0008
58.0000,0.3120,0.0010
58.0000,0.3200,0.0011
58.0000,0.3280,0.0013
58.0000,0.3360,0.0015
58.0000,0.3440,0.0017
58.0000,0.3520,0.0019
58.0000,0.3600,0.0021
58.0000,0.3680,0.0024
58.0000,0.3760,0.0027
58.0000,0.3840,0.0029
58.0000,0.3920,0.0032
58.0000,0.4000,0.0036
58.0000,0.4080,0.0039
58.0000,0.4160,0.0043
58.0000,0.4240,0.0046
58.0000,0.4320,0.0050
58.0000,0.4400,0.0054
58.0000,0.4480,0.0059
58.0000,0.4560,0.0063
58.0000,0.4640,0.0068
58.0000,0.4720,0.0073
58.0000,0.4800,0.0078
58.0000,0.4880,0.0083
58.0000,0.4960,0.0088
58.0000,0.5040,0.0094
58.0000,0.5120,0.0100
58.0000,0.5200,0.0105
58.0000,0.5280,0.0111
58.0000,0.5360,0.0118
58.0000,0.5440,0.0124
58.0000,0.5520,0.0130
58.0000,0.5600,0.0137
58.0000,0.5680,0.0144
58.0000,0.5760,0.0151
58.0000,0.5840,0.0158
58.0000,0.6000,0.0172
60.0000,0.2000,0.0001
60.0000,0.2080,0.0001
60.0000,0.2160,0.0002
60.0000,0.2240,0.0002
60.0000,0.2320,0.0003
60.0000,0.2400,0.0004
60.0000,0.2480,0.0005
60.0000,0.2560,0.0006
60.0000,0.2640,0.0007
60.0000,0.2720,0.0008
60.0000,0.2800,0.0010
60.0000,0.2880,0.0011
60.0000,0.2960,0.0013
60.0000,0.3040,0.0015
60.0000,0.3120,0.0017
60.0000,0.3200,0.0020
60.0000,0.3280,0.0022
60.0000,0.3360,0.0025
60.0000,0.3440,0.0028
60.0000,0.3520,0.0032
60.0000,0.3600,0.0035
60.0000,0.3680,0.0039
60.0000,0.3760,0.0043
60.0000,0.3840,0.0047
60.0000,0.3920,0.0051
60.0000,0.4000,0.0056
60.0000,0.4080,0.0061
60.0000,0.4160,0.0066
60.0000,0.4240,0.0071
60.0000,0.4320,0.0076
60.0000,0.4400,0.0082
60.0000,0.4480,0.0088
60.0000,0.4560,0.0094
60.0000,0.4640,0.0100
60.0000,0.4720,0.0107
60.0000,0.4800,0.0113
60.0000,0.4880,0.0120
60.0000,0.4960,0.0127
60.0000,0.5040,0.0134
60.0000,0.5120,0.0142
60.0000,0.5200,0.0149
60.0000,0.5280,0.0157
60.0000,0.5360,0.0165
60.0000,0.5440,0.0173
60.0000,0.5520,0.0181
60.0000,0.5600,0.0189
60.0000,0.5680,0.0198
60.0000,0.5760,0.0206
60.0000,0.5840,0.0215
60.0000,0.6000,0.0233
62.0000,0.2000,0.0002
62.0000,0.2080,0.0003
62.0000,0.2160,0.0004
62.0000,0.2240,0.0005
62.0000,0.2320,0.0006
62.0000,0.2400,0.0007
62.0000,0.2480,0.0009
62.0000,0.2560,0.0010
62.0000,0.2640,0.0012
62.0000,0.2720,0.0015
62.0000,0.2800,0.0017
62.0000,0.2880,0.0020
62.0000,0.2960,0.0023
62.0000,0.3040,0.0026
62.0000,0.3120,0.0029
62.0000,0.3200,0.0033
62.0000,0.3280,0.0037
62.0000,0.3360,0.0041
62.0000,0.3440,0.0046
62.0000,0.3520,0.0050
62.0000,0.3600,0.0056
62.0000,0.3680,0.0061
62.0000,0.3760,0.0066
62.0000,0.3840,0.0072
62.0000,0.3920,0.0078
62.0000,0.4000,0.0084
62.0000,0.4080,0.0091
62.0000,0.4160,0.0098
62.0000,0.4240,0.0105
62.0000,0.4320,0.0112
62.0000,0.4400,0.0119
62.0000,0.4480,0.0127
62.0000,0.4560,0.0135
62.0000,0.4640,0.0143
62.0000,0.4720,0.0152
62.0000,0.4800,0.0160
62.0000,0.4880,0.0169
62.0000,0.4960,0.0178
62.0000,0.5040,0.0187
62.0000,0.5120,0.0196
62.0000,0.5200,0.0206
62.0000,0.5280,0.0215
62.0000,0.5360,0.0225
62.0000,0.5440,0.0235
62.0000,0.5520,0.0245
62.0000,0.5600,0.0255
62.0000,0.5680,0.0266
62.0000,0.5760,0.0276
62.0000,0.5840,0.0287
62.0000,0.6000,0.0308
64.0000,0.2000,0.0005
64.0000,0.2080,0.0006
64.0000,0.2160,0.0007
64.0000,0.2240,0.0009
64.0000,0.2320,0.0011
64.0000,0.2400,0.0013
64.0000,0.2480,0.0016
64.0000,0.2560,0.0019
64.0000,0.2640,0.0022
64.0000,0.2720,0.0025
64.0000,0.2800,0.0029
64.0000,0.2880,0.0033
64.0000,0.2960,0.0038
64.0000,0.3040,0.0043
64.0000,0.3120,0.0048
64.0000,0.3200,0.0053
64.0000,0.3280,0.0059
64.0000,0.3360,0.0065
64.0000,0.3440,0.0071
64.0000,0.3520,0.0078
64.0000,0.3600,0.0085
64.0000,0.3680,0.0092
64.0000,0.3760,0.0099
64.0000,0.3840,0.0107
64.0000,0.3920,0.0115
64.0000,0.4000,0.0124
64.0000,0.4080,0.0132
64.0000,0.4160,0.0141
64.0000,0.4240,0.0150
64.0000,0.4320,0.0160
64.0000,0.4400,0.0169
64.0000,0.4480,0.0179
64.0000,0.4560,0.0189
64.0000,0.4640,0.0199
64.0000,0.4720,0.0210
64.0000,0.4800,0.0220
64.0000,0.4880,0.0231
64.0000,0.4960,0.0242
64.0000,0.5040,0.0253
64.0000,0.5120,0.0265
64.0000,0.5200,0.0276
64.0000,0.5280,0.0288
64.0000,0.5360,0.0300
64.0000,0.5440,0.0312
64.0000,0.5520,0.0324
64.0000,0.5600,0.0336
64.0000,0.5680,0.0349
64.0000,0.5760,0.0361
64.0000,0.5840,0.0374
64.0000,0.6000,0.0399
66.0000,0.2000,0.0009
66.0000,0.2080,0.0011
66.0000,0.2160,0.0014
66.0000,0.2240,0.0017
66.0000,0.2320,0.0020
66.0000,0.2400,0.0024
66.0000,0.2480,0.0028
66.0000,0.2560,0.0032
66.0000,0.2640,0.0037
66.0000,0.2720,0.0042
66.0000,0.2800,0.0048
66.0000,0.2880,0.0054
66.0000,0.2960,0.0060
66.0000,0.3040,0.0067
66.0000,0.3120,0.0074
66.0000,0.3200,0.0082
66.0000,0.3280,0.0090
66.0000,0.3360,0.0098
66.0000,0.3440,0.0107
66.0000,0.3520,0.0116
66.0000,0.3600,0.0125
66.0000,0.3680,0.0134
66.0000,0.3760,0.0144
66.0000,0.3840,0.0155
66.0000,0.3920,0.0165
66.0000,0.4000,0.0176
66.0000,0.4080,0.0187
66.0000,0.4160,0.0198
66.0000,0.4240,0.0210
66.0000,0.4320,0.0221
66.0000,0.4400,0.0233
66.0000,0.4480,0.0245
66.0000,0.4560,0.0258
66.0000,0.4640,0.0270
66.0000,0.4720,0.0283
66.0000,0.4800,0.0296
66.0000,0.4880,0.0309
66.0000,0.4960,0.0323
66.0000,0.5040,0.0336
66.0000,0.5120,0.0350
66.0000,0.5200,0.0363
66.0000,0.5280,0.0377
66.0000,0.5360,0.0391
66.0000,0.5440,0.0405
66.0000,0.5520,0.0420
66.0000,0.5600,0.0434
66.0000,0.5680,0.0448
66.0000,0.5760,0.0463
66.0000,0.5840,0.0478
66.0000,0.6000,0.0507
68.0000,0.2000,0.0017
68.0000,0.2080,0.0021
68.0000,0.2160,0.0025
68.0000,0.2240,0.0030
68.0000,0.2320,0.0035
68.0000,0.2400,0.0040
68.0000,0.2480,0.0046
68.0000,0.2560,0.0053
68.0000,0.2640,0.0060
68.0000,0.2720,0.0068
68.0000,0.2800,0.0076
68.0000,0.2880,0.0084
68.0000,0.2960,0.0093
68.0000,0.3040,0.0102
68.0000,0.3120,0.0112
68.0000,0.3200,0.0122
68.0000,0.3280,0.0133
68.0000,0.3360,0.0144
68.0000,0.3440,0.0155
68.0000,0.3520,0.0167
68.0000,0.3600,0.0179
68.0000,0.3680,0.0191
68.0000,0.3760,0.0204
68.0000,0.3840,0.0217
68.0000,0.3920,0.0230
68.0000,0.4000,0.0243
68.0000,0.4080,0.0257
68.0000,0.4160,0.0271
68.0000,0.4240,0.0285
68.0000,0.4320,0.0299
68.0000,0.4400,0.0314
68.0000,0.4480,0.0329
68.0000,0.4560,0.0344
68.0000,0.4640,0.0359
68.0000,0.4720,0.0374
68.0000,0.4800,0.0389
68.0000,0.4880,0.0405
68.0000,0.4960,0.0420
68.0000,0.5040,0.0436
68.0000,0.5120,0.0452
68.0000,0.5200,0.0468
68.0000,0.5280,0.0484
68.0000,0.5360,0.0501
68.0000,0.5440,0.0517
68.0000,0.5520,0.0533
68.0000,0.5600,0.0550
68.0000,0.5680,0.0566
68.0000,0.5760,0.0583
68.0000,0.5840,0.0599
68.0000,0.6000,0.0633
70.0000,0.2000,0.0030
70.0000,0.2080,0.0036
70.0000,0.2160,0.0043
70.0000,0.2240,0.0050
70.0000,0.2320,0.0057
70.0000,0.2400,0.0066
70.0000,0.2480,0.0074
70.0000,0.2560,0.0084
70.0000,0.2640,0.0094
70.0000,0.2720,0.0104
70.0000,0.2800,0.0115
70.0000,0.2880,0.0127
70.0000,0.2960,0.0139
70.0000,0.3040,0.0151
70.0000,0.3120,0.0164
70.0000,0.3200,0.0177
70.0000,0.3280,0.0191
70.0000,0.3360,0.0205
70.0000,0.3440,0.0219
70.0000,0.3520,0.0234
70.0000,0.3600,0.0249
70.0000,0.3680,0.0264
70.0000,0.3760,0.0280
70.0000,0.3840,0.0296
70.0000,0.3920,0.0312
70.0000,0.4000,0.0328
70.0000,0.4080,0.0345
70.0000,0.4160,0.0362
70.0000,0.4240,0.0378
70.0000,0.4320,0.0396
70.0000,0.4400,0.0413
70.0000,0.4480,0.0430
70.0000,0.4560,0.0448
70.0000,0.4640,0.0465
70.0000,0.4720,0.0483
70.0000,0.4800,0.0501
70.0000,0.4880,0.0519
70.0000,0.4960,0.0537
70.0000,0.5040,0.0555
70.0000,0.5120,0.0574
70.0000,0.5200,0.0592
70.0000,0.5280,0.0610
70.0000,0.5360,0.0629
70.0000,0.5440,0.0647
70.0000,0.5520,0.0665
70.0000,0.5600,0.0684
70.0000,0.5680,0.0702
70.0000,0.5760,0.0721
70.0000,0.5840,0.0740
70.0000,0.6000,0.0777
72.0000,0.2000,0.0052
72.0000,0.2080,0.0060
72.0000,0.2160,0.0070
72.0000,0.2240,0.0080
72.0000,0.2320,0.0091
72.0000,0.2400,0.0103
72.0000,0.2480,0.0115
72.0000,0.2560,0.0128
72.0000,0.2640,0.0141
72.0000,0.2720,0.0155
72.0000,0.2800,0.0170
72.0000,0.2880,0.0185
72.0000,0.2960,0.0200
72.0000,0.3040,0.0216
72.0000,0.3120,0.0233
72.0000,0.3200,0.0250
72.0000,0.3280,0.0267
72.0000,0.3360,0.0284
72.0000,0.3440,0.0302
72.0000,0.3520,0.0320
72.0000,0.3600,0.0338
72.0000,0.3680,0.0357
72.0000,0.3760,0.0376
72.0000,0.3840,0.0394
72.0000,0.3920,0.0414
72.0000,0.4000,0.0433
72.0000,0.4080,0.0453
72.0000,0.4160,0.0472
72.0000,0.4240,0.0492
72.0000,0.4320,0.0512
72.0000,0.4400,0.0532
72.0000,0.4480,0.0552
72.0000,0.4560,0.0572
72.0000,0.4640,0.0592
72.0000,0.4720,0.0613
72.0000,0.4800,0.0633
72.0000,0.4880,0.0653
72.0000,0.4960,0.0674
72.0000,0.5040,0.0694
72.0000,0.5120,0.0715
72.0000,0.5200,0.0735
72.0000,0.5280,0.0756
72.0000,0.5360,0.0776
72.0000,0.5440,0.0797
72.0000,0.5520,0.0817
72.0000,0.5600,0.0838
72.0000,0.5680,0.0858
72.0000,0.5760,0.0878
72.0000,0.5840,0.0899
72.0000,0.6000,0.0939
74.0000,0.2000,0.0084
74.0000,0.2080,0.0097
74.0000,0.2160,0.0110
74.0000,0.2240,0.0125
74.0000,0.2320,0.0140
74.0000,0.2400,0.0155
74.0000,0.2480,0.0172
74.0000,0.2560,0.0189
74.0000,0.2640,0.0206
74.0000,0.2720,0.0224
74.0000,0.2800,0.0243
74.0000,0.2880,0.0262
74.0000,0.2960,0.0281
74.0000,0.3040,0.0301
74.0000,0.3120,0.0321
74.0000,0.3200,0.0342
74.0000,0.3280,0.0363
74.0000,0.3360,0.0384
74.0000,0.3440,0.0405
74.0000,0.3520,0.0427
74.0000,0.3600,0.0449
74.0000,0.3680,0.0470
74.0000,0.3760,0.0492
74.0000,0.3840,0.0515
74.0000,0.3920,0.0537
74.0000,0.4000,0.0559
74.0000,0.4080,0.0582
74.0000,0.4160,0.0604
74.0000,0.4240,0.0627
74.0000,0.4320,0.0650
74.0000,0.4400,0.0672
74.0000,0.4480,0.0695
74.0000,0.4560,0.0718
74.0000,0.4640,0.0741
74.0000,0.4720,0.0763
74.0000,0.4800,0.0786
74.0000,0.4880,0.0809
74.0000,0.4960,0.0831
74.0000,0.5040,0.0854
74.0000,0.5120,0.0876
74.0000,0.5200,0.0899
74.0000,0.5280,0.0921
74.0000,0.5360,0.0944
74.0000,0.5440,0.0966
74.0000,0.5520,0.0988
74.0000,0.5600,0.1010
74.0000,0.5680,0.1032
74.0000,0.5760,0.1054
74.0000,0.5840,0.1076
74.0000,0.6000,0.1120
76.0000,0.2000,0.0132
76.0000,0.2080,0.0150
76.0000,0.2160,0.0168
76.0000,0.2240,0.0187
76.0000,0.2320,0.0207
76.0000,0.2400,0.0227
76.0000,0.2480,0.0248
76.0000,0.2560,0.0270
76.0000,0.2640,0.0292
76.0000,0.2720,0.0315
76.0000,0.2800,0.0338
76.0000,0.2880,0.0361
76.0000,0.2960,0.0385
76.0000,0.3040,0.0409
76.0000,0.3120,0.0433
76.0000,0.3200,0.0457
76.0000,0.3280,0.0482
76.0000,0.3360,0.0507
76.0000,0.3440,0.0532
76.0000,0.3520,0.0557
76.0000,0.3600,0.0582
76.0000,0.3680,0.0607
76.0000,0.3760,0.0633
76.0000,0.3840,0.0658
76.0000,0.3920,0.0683
76.0000,0.4000,0.0709
76.0000,0.4080,0.0734
76.0000,0.4160,0.0759
76.0000,0.4240,0.0785
76.0000,0.4320,0.0810
76.0000,0.4400,0.0835
76.0000,0.4480,0.0860
76.0000,0.4560,0.0885
76.0000,0.4640,0.0910
76.0000,0.4720,0.0935
76.0000,0.4800,0.0960
76.0000,0.4880,0.0985
76.0000,0.4960,0.1009
76.0000,0.5040,0.1034
76.0000,0.5120,0.1058
76.0000,0.5200,0.1083
76.0000,0.5280,0.1107
76.0000,0.5360,0.1131
76.0000,0.5440,0.1155
76.0000,0.5520,0.1179
76.0000,0.5600,0.1202
76.0000,0.5680,0.1226
76.0000,0.5760,0.1249
76.0000,0.5840,0.1273
76.0000,0.6000,0.1319
78.0000,0.2000,0.0200
78.0000,0.2080,0.0223
78.0000,0.2160,0.0247
78.0000,0.2240,0.0271
78.0000,0.2320,0.0296
78.0000,0.2400,0.0322
78.0000,0.2480,0.0348
78.0000,0.2560,0.0375
78.0000,0.2640,0.0402
78.0000,0.2720,0.0429
78.0000,0.2800,0.0457
78.0000,0.2880,0.0485
78.0000,0.2960,0.0513
78.0000,0.3040,0.0541
78.0000,0.3120,0.0570
78.0000,0.3200,0.0598
78.0000,0.3280,0.0626
78.0000,0.3360,0.0655
78.0000,0.3440,0.0683
78.0000,0.3520,0.0712
78.0000,0.3600,0.0740
78.0000,0.3680,0.0769
78.0000,0.3760,0.0797
78.0000,0.3840,0.0826
78.0000,0.3920,0.0854
78.0000,0.4000,0.0882
78.0000,0.4080,0.0910
78.0000,0.4160,0.0938
78.0000,0.4240,0.0966
78.0000,0.4320,0.0993
78.0000,0.4400,0.1021
78.0000,0.4480,0.1048
78.0000,0.4560,0.1075
78.0000,0.4640,0.1102
78.0000,0.4720,0.1129
78.0000,0.4800,0.1156
78.0000,0.4880,0.1182
78.0000,0.4960,0.1208
78.0000,0.5040,0.1235
78.0000,0.5120,0.1261
78.0000,0.5200,0.1286
78.0000,0.5280,0.1312
78.0000,0.5360,0.1337
78.0000,0.5440,0.1363
78.0000,0.5520,0.1388
78.0000,0.5600,0.1413
78.0000,0.5680,0.1437
78.0000,0.5760,0.1462
78.0000,0.5840,0.1486
78.0000,0.6000,0.1534
80.0000,0.2000,0.0292
80.0000,0.2080,0.0322
80.0000,0.2160,0.0351
80.0000,0.2240,0.0382
80.0000,0.2320,0.0413
80.0000,0.2400,0.0444
80.0000,0.2480,0.0476
80.0000,0.2560,0.0508
80.0000,0.2640,0.0540
80.0000,0.2720,0.0572
80.0000,0.2800,0.0604
80.0000,0.2880,0.0636
80.0000,0.2960,0.0669
80.0000,0.3040,0.0701
80.0000,0.3120,0.0733
80.0000,0.3200,0.0766
80.0000,0.3280,0.0798
80.0000,0.3360,0.0830
80.0000,0.3440,0.0861
80.0000,0.3520,0.0893
80.0000,0.3600,0.0925
80.0000,0.3680,0.0956
80.0000,0.3760,0.0987
80.0000,0.3840,0.1018
80.0000,0.3920,0.1049
80.0000,0.4000,0.1079
80.0000,0.4080,0.1110
80.0000,0.4160,0.1140
80.0000,0.4240,0.1170
80.0000,0.4320,0.1199
80.0000,0.4400,0.1229
80.0000,0.4480,0.1258
80.0000,0.4560,0.1287
80.0000,0.4640,0.1315
80.0000,0.4720,0.1344
80.0000,0.4800,0.1372
80.0000,0.4880,0.1400
80.0000,0.4960,0.1427
80.0000,0.5040,0.1455
80.0000,0.5120,0.1482
80.0000,0.5200,0.1509
80.0000,0.5280,0.1536
80.0000,0.5360,0.1562
80.0000,0.5440,0.1589
80.0000,0.5520,0.1615
80.0000,0.5600,0.1640
80.0000,0.5680,0.1666
80.0000,0.5760,0.1691
80.0000,0.5840,0.1716
80.0000,0.6000,0.1766
82.0000,0.2000,0.0414
82.0000,0.2080,0.0450
82.0000,0.2160,0.0486
82.0000,0.2240,0.0523
82.0000,0.2320,0.0560
82.0000,0.2400,0.0597
82.0000,0.2480,0.0634
82.0000,0.2560,0.0671
82.0000,0.2640,0.0708
82.0000,0.2720,0.0744
82.0000,0.2800,0.0781
82.0000,0.2880,0.0818
82.0000,0.2960,0.0854
82.0000,0.3040,0.0890
82.0000,0.3120,0.0926
82.0000,0.3200,0.0961
82.0000,0.3280,0.0997
82.0000,0.3360,0.1032
82.0000,0.3440,0.1066
82.0000,0.3520,0.1101
82.0000,0.3600,0.1135
82.0000,0.3680,0.1169
82.0000,0.3760,0.1202
82.0000,0.3840,0.1235
82.0000,0.3920,0.1268
82.0000,0.4000,0.1301
82.0000,0.4080,0.1333
82.0000,0.4160,0.1365
82.0000,0.4240,0.1396
82.0000,0.4320,0.1427
82.0000,0.4400,0.1458
82.0000,0.4480,0.1489
82.0000,0.4560,0.1519
82.0000,0.4640,0.1549
82.0000,0.4720,0.1579
82.0000,0.4800,0.1608
82.0000,0.4880,0.1637
82.0000,0.4960,0.1665
82.0000,0.5040,0.1694
82.0000,0.5120,0.1722
82.0000,0.5200,0.1750
82.0000,0.5280,0.1777
82.0000,0.5360,0.1804
82.0000,0.5440,0.1831
82.0000,0.5520,0.1858
82.0000,0.5600,0.1884
82.0000,0.5680,0.1910
82.0000,0.5760,0.1936
82.0000,0.5840,0.1962
82.0000,0.6000,0.2012
84.0000,0.2000,0.0570
84.0000,0.2080,0.0612
84.0000,0.2160,0.0655
84.0000,0.2240,0.0698
84.0000,0.2320,0.0740
84.0000,0.2400,0.0782
84.0000,0.2480,0.0824
84.0000,0.2560,0.0866
84.0000,0.2640,0.0907
84.0000,0.2720,0.0948
84.0000,0.2800,0.0989
84.0000,0.2880,0.1029
84.0000,0.2960,0.1069
84.0000,0.3040,0.1108
84.0000,0.3120,0.1147
84.0000,0.3200,0.1186
84.0000,0.3280,0.1224
84.0000,0.3360,0.1261
